,route_id,stop_id,trip_headsign,stop_name,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
72,14832,908603,GOLD NORTHBOUND TO DORAVILLE STATION,CHAMBLEE STATION,13089021204,44.3,19886,407,215
76,14832,908604,GOLD SOUTHBOUND TO AIRPORT STATION,CHAMBLEE STATION,13089021204,44.3,19886,407,215
2921,14799,906022,,TUCKER NORCROSS RD@BRITT RD,13089021814,27.7,28107,364,393
2922,14799,905371,,PLEASANTDALE RD @ TUCKER NORCROSS RD,13089021814,27.7,28107,364,393
2923,14799,906131,,PLEASANTDALE RD@SHADOW WALK LN,13089021814,27.7,28107,364,393
2924,14799,906129,,PLEASANTDALE RD@PLEASANT SHADE DR,13089021814,27.7,28107,364,393
2925,14799,905326,,PLEASANTDALE RD @ SPRING HARBOR LN,13089021814,27.7,28107,364,393
2926,14799,905324,,PLEASANTDALE RD@PLEASANTDALE PKY,13089021814,27.7,28107,364,393
2927,14799,906126,,PLEASANTDALE RD @ WASHINGTON WAY,13089021814,27.7,28107,364,393
2928,14799,906162,,PLEASANTDALE RD @ VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2929,14799,906246,,PLEASANTDALE RD@3637,13089021814,27.7,28107,364,393
2930,14799,905321,,PLEASANTDALE RD@3722,13089021814,27.7,28107,364,393
2931,14799,905320,,PLEASANTDALE RD@3772,13089021814,27.7,28107,364,393
2932,14799,906027,,PLEASANTDALE RD @ 3980,13089021814,27.7,28107,364,393
2933,14799,906026,,PLEASANTDALE RD@4021,13089021814,27.7,28107,364,393
2936,14799,213293,,BUTTON GWINNETT DR @ 4550,13089021303,30.5,33701,237,373
2937,14799,906270,,PLEASANTDALE RD@OAKCLIFF RD,13089021303,30.5,33701,237,373
2938,14799,906274,,OAKCLIFF RD @ PLEASANTDALE,13089021303,30.5,33701,237,373
2939,14799,906269,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL CT,13089021303,30.5,33701,237,373
2940,14799,906268,,OAKCLIFF RD@NORTHCREST RD,13089021303,30.5,33701,237,373
2941,14799,906267,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL ST,13089021303,30.5,33701,237,373
2942,14799,906266,,OAKCLIFF RD@3420,13089021303,30.5,33701,237,373
2943,14799,906260,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2944,14799,906259,,OAKCLIFF RD@WINDSOR OAK DR,13089021303,30.5,33701,237,373
2945,14799,905375,,OAKCLIFF RD @ BUFORD HWY,13089021303,30.5,33701,237,373
2946,14799,210566,,BUFORD HWY@MCELROY RD,13089021306,19.7,37104,120,232
2947,14799,905971,,BUFORD HWY@5700,13089021306,19.7,37104,120,232
2948,14799,905997,,BUFORD HWY@LONGMIRE,13089021306,19.7,37104,120,232
2956,14799,906016,,BUFORD HWY NE @ CHESTNUT DR,13089021307,26.4,45199,91,138
2957,14799,905263,,BUFORD HWY@LONGMIRE,13089021303,30.5,33701,237,373
2958,14799,905379,,BUFORD HWY@MCELROY RD,13089021303,30.5,33701,237,373
2959,14799,905266,,BUFORD HWY@MCELROY RD,13089021303,30.5,33701,237,373
2960,14799,210565,,BUFORD HWY @ OAKCLIFF RD,13089021303,30.5,33701,237,373
2961,14799,906232,,OAKCLIFF RD@3061,13089021303,30.5,33701,237,373
2962,14799,905338,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2963,14799,906234,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2964,14799,906235,,OAKCLIFF RD @ 3417,13089021303,30.5,33701,237,373
2965,14799,906209,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL ST,13089021303,30.5,33701,237,373
2966,14799,906210,,OAKCLIFF RD @ NORTHCREST RD,13089021303,30.5,33701,237,373
2967,14799,906211,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL CT,13089021303,30.5,33701,237,373
2968,14799,906212,,OAKCLIFF RD @ PLEASANTDALE RD,13089021303,30.5,33701,237,373
2969,14799,906236,,PLEASANTDALE RD@4126,13089021303,30.5,33701,237,373
2971,14799,905783,,PLEASANTDALE RD@3930,13089021814,27.7,28107,364,393
2972,14799,906021,,PLEASANTDALE RD@3980,13089021814,27.7,28107,364,393
2973,14799,905194,,PLEASANTDALE RD@3810,13089021814,27.7,28107,364,393
2974,14799,905195,,PLEASANTDALE RD@3772,13089021814,27.7,28107,364,393
2975,14799,905196,,PLEASANTDALE RD@3754,13089021814,27.7,28107,364,393
2976,14799,905197,,PLEASANTDALE RD@3722,13089021814,27.7,28107,364,393
2977,14799,906247,,PLEASANTDALE RD@3637,13089021814,27.7,28107,364,393
2978,14799,905322,,PLEASANTDALE RD@VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2979,14799,906124,,PLEASANTDALE RD@VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2980,14799,905323,,PLEASANTDALE RD@PLEASANTDALE PKY,13089021814,27.7,28107,364,393
2981,14799,905325,,PLEASANTDALE RD@SPRING HARBOR LN,13089021814,27.7,28107,364,393
2982,14799,906128,,PLEASANTDALE RD@PLEASANT SHADE DR,13089021814,27.7,28107,364,393
3007,14748,906073,Route 39 Lindbergh Station,BUFORD HWY NE @ CHAMBLEE DUNWOODY RD ,13089021204,44.3,19886,407,215
3008,14748,212903,Route 39 Lindbergh Station,BUFORD HWY @ 5000,13089021204,44.3,19886,407,215
3009,14748,905540,Route 39 Lindbergh Station,BUFORD HWY @ CHAMBLEE TUCKER RD,13089021204,44.3,19886,407,215
3010,14748,905829,Route 39 Lindbergh Station,BUFORD HWY NE @ BEVERLY HILLS DR ,13089021204,44.3,19886,407,215
3011,14748,905830,Route 39 Lindbergh Station,BUFORD HWY NE @ 4770,13089021204,44.3,19886,407,215
3012,14748,905748,Route 39 Lindbergh Station,BUFORD HWY NE @ SHALLOWFORD TER ,13089021204,44.3,19886,407,215
3013,14748,210966,Route 39 Lindbergh Station,BUFORD HWY@WOODSIDE WAY,13089021204,44.3,19886,407,215
3014,14748,211090,Route 39 Lindbergh Station,BUFORD HWY NE @ 4416,13089021204,44.3,19886,407,215
