,route_id,stop_id,trip_headsign,stop_name,stop_lat,stop_lon,count_name,census_tract_detail,census_tract,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractHUNV,TractSNAP
0,14831,907933,BLUE EASTBOUND TO INDIAN CREEK STATION,HAMILTON E HOLMES STATION,33.754553,-84.469302,Fulton,1.3121E+14,13121008102,13121008102,Georgia,Fulton,1,5925,2544,0,0,0,1,1,1,1,1,1,41.6,22292,1,1,1,1,1,0,0,1,2216.324271,4658.396697,2216.324271,1397.898932,3389.777563,1397.898932,4658.396697,0.786227291,3389.777563,0.572114357,830.0410417,0.326273994,924.0090809,0.363211117,2216.324271,0.374063168,1397.898932,0.235932309,274.5277354,0.107911846,417.3201147,0.164040926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432,925,1084
1,14831,908023,BLUE EASTBOUND TO INDIAN CREEK STATION,WEST LAKE STATION,33.753328,-84.445329,Fulton,1.3121E+14,13121004000,13121004000,Georgia,Fulton,1,2231,870,0,0,0,0,1,0,1,1,1,44.6,27396,0,1,0,1,0,0,0,1,75.39484359,2012.435046,75.39484359,46.04725795,1215.351067,46.04725795,2012.435046,0.902032741,1215.351067,0.544756193,156.0227072,0.179336445,268.726588,0.308881136,75.39484359,0.033794193,46.04725795,0.020639739,5.36958728,0.006171939,10.17467502,0.011695029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,165,289
2,14831,908963,BLUE EASTBOUND TO INDIAN CREEK STATION,ASHBY STATION,33.756478,-84.41723,Fulton,1.3121E+14,13121002500,13121002500,Georgia,Fulton,1,1904,779,0,61,0.0320378,0,0,0,0,0,1,43.5,19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,331,309
3,14833,908963,,ASHBY STATION,33.756478,-84.41723,Fulton,1.3121E+14,13121002500,13121002500,Georgia,Fulton,1,1904,779,0,61,0.0320378,0,0,0,0,0,1,43.5,19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,331,309
4,14831,908958,BLUE EASTBOUND TO INDIAN CREEK STATION,VINE CITY STATION,33.756613,-84.403902,Fulton,1.3121E+14,13121002600,13121002600,Georgia,Fulton,1,914,421,0,0,0,0,1,0,0,0,1,45.4,16607,0,1,0,1,0,0,0,0,0,412.8965102,0,0,267.2441551,0,412.8965102,0.451746729,267.2441551,0.292389666,70.43078548,0.167294027,67.98810067,0.161491926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,173,167
5,14833,908958,,VINE CITY STATION,33.756613,-84.403902,Fulton,1.3121E+14,13121002600,13121002600,Georgia,Fulton,1,914,421,0,0,0,0,1,0,0,0,1,45.4,16607,0,1,0,1,0,0,0,0,0,412.8965102,0,0,267.2441551,0,412.8965102,0.451746729,267.2441551,0.292389666,70.43078548,0.167294027,67.98810067,0.161491926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,173,167
6,14831,908435,BLUE EASTBOUND TO INDIAN CREEK STATION,GWCC-CNN CENTER STATION,33.756179,-84.397215,Fulton,1.3121E+14,13121003500,13121003500,Georgia,Fulton,1,2241,767,0,1187,0.5296742,1,1,1,0,0,1,43.4,115096,1,1,1,1,1,0,0,0,1135.23642,2241.000002,1135.23642,697.7377048,1278.263586,697.7377048,2241.000002,1.000000001,1278.263586,0.570398744,78.87885651,0.102840752,53.03035453,0.069139967,1135.23642,0.506575823,697.7377048,0.311351051,67.21034055,0.087627563,35.46779255,0.046242233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,69,41
7,14833,908435,,GWCC-CNN CENTER STATION,33.756179,-84.397215,Fulton,1.3121E+14,13121003500,13121003500,Georgia,Fulton,1,2241,767,0,1187,0.5296742,1,1,1,0,0,1,43.4,115096,1,1,1,1,1,0,0,0,1135.23642,2241.000002,1135.23642,697.7377048,1278.263586,697.7377048,2241.000002,1.000000001,1278.263586,0.570398744,78.87885651,0.102840752,53.03035453,0.069139967,1135.23642,0.506575823,697.7377048,0.311351051,67.21034055,0.087627563,35.46779255,0.046242233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,69,41
8,14831,908981,BLUE EASTBOUND TO INDIAN CREEK STATION,FIVE POINTS STATION,33.753837,-84.391397,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
9,14833,908981,,FIVE POINTS STATION,33.753837,-84.391397,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
10,14831,908696,BLUE EASTBOUND TO INDIAN CREEK STATION,GEORGIA STATE STATION,33.750143,-84.385882,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
11,14833,908696,,GEORGIA STATE STATION,33.750143,-84.385882,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
12,14831,908436,BLUE EASTBOUND TO INDIAN CREEK STATION,KING MEMORIAL STATION,33.749951,-84.375675,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
13,14833,908436,,KING MEMORIAL STATION,33.749951,-84.375675,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
14,14831,908437,BLUE EASTBOUND TO INDIAN CREEK STATION,INMAN PARK-REYNOLDSTOWN STATION,33.757451,-84.352762,Fulton,1.3121E+14,13121003100,13121003100,Georgia,Fulton,1,1599,750,0,0,0,0,1,0,0,0,1,17.9,49132,0,1,0,1,0,0,0,0,0,588.5018879,0,0,278.5945699,0,588.5018879,0.368043707,278.5945699,0.1742305,38.4390611,0.051252081,42.84137088,0.057121828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,121,121
15,14831,908699,BLUE EASTBOUND TO INDIAN CREEK STATION,EDGEWOOD-CANDLER PARK STATION,33.761866,-84.340456,DeKalb,1.3089E+14,13089020400,13089020400,Georgia,DeKalb,1,2376,1222,0,0,0,0,0,0,0,0,0,5.9,123787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,51,7
16,14831,908566,BLUE EASTBOUND TO INDIAN CREEK STATION,EAST LAKE STATION,33.765241,-84.312937,DeKalb,1.3089E+14,13089022403,13089022403,Georgia,DeKalb,1,4052,1598,0,0,0,0,0,0,0,0,0,6.2,187868,1,1,1,1,1,0,0,0,525.0740115,2973.052023,525.0740115,54.88872647,323.233502,54.88872647,2973.052023,0.733724586,323.233502,0.079771348,74.30831836,0.046500825,8.475628633,0.005303898,525.0740115,0.129583912,54.88872647,0.013546083,11.62964252,0.007277624,1.451067309,0.000908052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,72,10
17,14831,908700,BLUE EASTBOUND TO INDIAN CREEK STATION,DECATUR STATION,33.774681,-84.295319,DeKalb,1.3089E+14,13089022600,13089022600,Georgia,DeKalb,1,5795,3077,0,24,0.0041415,0,0,0,0,0,0,9.7,132125,0,1,0,1,0,0,0,0,0,1609.794481,0,0,322.8882837,0,1609.794481,0.277790247,322.8882837,0.055718427,32.37013887,0.010520032,48.97144664,0.015915322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,279,185
18,14831,908438,BLUE EASTBOUND TO INDIAN CREEK STATION,AVONDALE STATION,33.775554,-84.281487,DeKalb,1.3089E+14,13089022600,13089022600,Georgia,DeKalb,1,5795,3077,0,24,0.0041415,0,0,0,0,0,0,9.7,132125,0,1,0,1,0,0,0,0,0,1609.794481,0,0,322.8882837,0,1609.794481,0.277790247,322.8882837,0.055718427,32.37013887,0.010520032,48.97144664,0.015915322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,279,185
19,14831,908634,BLUE EASTBOUND TO INDIAN CREEK STATION,KENSINGTON STATION,33.772647,-84.251607,DeKalb,1.3089E+14,13089023113,13089023113,Georgia,DeKalb,1,3187,1383,0,0,0,1,1,1,1,1,1,29.1,27847,1,1,1,1,1,0,0,1,2105.751922,3162.593973,2105.751922,1215.772062,1788.197084,1215.772062,3162.593973,0.992342006,1788.197084,0.561091021,386.2404255,0.279277242,488.7725888,0.353414742,2105.751922,0.660731698,1215.772062,0.381478526,256.5893081,0.185530953,321.0753875,0.232158632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,398,500
20,14831,908515,BLUE EASTBOUND TO INDIAN CREEK STATION,INDIAN CREEK STATION,33.769856,-84.228906,DeKalb,1.3089E+14,13089023111,13089023111,Georgia,DeKalb,1,1590,582,0,1,0.0006289,0,1,0,0,0,1,24.1,54063,0,1,0,1,0,0,0,0,0,589.6406363,0,0,289.0155666,0,589.6406363,0.370843167,289.0155666,0.181770797,2.66053238,0.004571361,31.26125532,0.053713497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,8,94
21,14831,908516,BLUE WESTBOUND TO H E HOLMES STATION,INDIAN CREEK STATION,33.769893,-84.229874,DeKalb,1.3089E+14,13089023111,13089023111,Georgia,DeKalb,1,1590,582,0,1,0.0006289,0,1,0,0,0,1,24.1,54063,0,1,0,1,0,0,0,0,0,589.6406363,0,0,289.0155666,0,589.6406363,0.370843167,289.0155666,0.181770797,2.66053238,0.004571361,31.26125532,0.053713497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,8,94
22,14831,908709,BLUE WESTBOUND TO H E HOLMES STATION,KENSINGTON STATION,33.772764,-84.252151,DeKalb,1.3089E+14,13089023113,13089023113,Georgia,DeKalb,1,3187,1383,0,0,0,1,1,1,1,1,1,29.1,27847,1,1,1,1,1,0,0,1,2105.751922,3162.593973,2105.751922,1215.772062,1788.197084,1215.772062,3162.593973,0.992342006,1788.197084,0.561091021,386.2404255,0.279277242,488.7725888,0.353414742,2105.751922,0.660731698,1215.772062,0.381478526,256.5893081,0.185530953,321.0753875,0.232158632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,398,500
