,route_id,trip_headsign
0,14831,BLUE EASTBOUND TO INDIAN CREEK STATION
21,14831,BLUE WESTBOUND TO H E HOLMES STATION
29,14833,GREEN WESTBOUND TO BANKHEAD STATION
42,14832,GOLD NORTHBOUND TO DORAVILLE STATION
43,14832,GOLD NORTHBOUND DORAVILLE STATION
44,14834,RED NORTHBOUND TO NORTH SPRINGS STATION
75,14832,GOLD SOUTHBOUND TO AIRPORT STATION
81,14834,RED SOUTHBOUND TO AIRPORT STATION
113,14834,RED SOUTHBOUND TO LINDBERGH STATION
127,14816,Route 196- College Park Station
128,14816,Route 196- Southlake Mall
156,14810,Route 191-Clayton County Justice Center
179,14812,Route 192 East Point Station
227,14810,Route 191 Lakewood Station
248,14812,Route 192- Clayton County Justice Center
403,14814,Route 193- East Point Station
404,14814,Route 193- Clayton County Justice Center
422,14752,Route 42 - Lakewood Station
423,14752,Route 42- Five Points 
424,14803,Route 178 - Hamilton Boulevard 
425,14803,Route 178 - Lakewood Station
482,14782,Route 95 - King Arnold Street
483,14750,Route 40 West End Station
485,14782,Route 95 - West End Station
486,14750,Route 40 Arts Center Station
587,14774,Route 84 Social Security Administration Office
588,14774,Route 84 - East Point Station
704,14754,Route 49 Metro Transitional Center
708,14787,Route 110 Arts Center Station
709,14787,Route 110 - Lenox Station
842,14827,Route 816 Emory University
1618,14827,Route 816 Five Points Station
1650,14756,Route 50 North Avenue Station
1651,14756,Route 50 UPS Distribution Center
1924,14736,Route 4 Jonesboro Rd.
1925,14736,Route 4 - Iman Park Station
1926,14736,Route 4- Rebel Forest Drive
2021,14754,Route 49- Five Points Station
2088,14841,Route 6 - Inman Park Station
2089,14841,Route 6 - Lindbergh Station
2090,14841,MARTA Headquarters  / Lindbergh Station
2093,14785,Route 107 - Indian Creek Station
2132,14740,Route 15 - Decatur Station / Decatur Square
2139,14852,Route 186 - Cone Street/Marietta Street
2212,14744,Route 21 - Kensington Station
2213,14744,Route 21 - Five Points Station
2342,14740,Route 15- Linecrest Road
2343,14740,Route 15 Bouldercrest Rd.
2386,14785,Route 107 GA State Station
2580,14793,Route 117 - GRTA Park & Ride
2581,14793,Route 117- Avondale Station
2634,14776,Route 86- Stonecrest Mall
2635,14776,Route 86-Kensington Station
2636,14776,Route 86- Kensington Station
2952,14748,Route 39 Lindbergh Station
2953,14748,Route 39 Doraville Station
3147,14789,Route 111 - Stonecrest Mall
3148,14789,Route 111 - Indian Creek Station
3321,14852,Route 186-Snapfinger Woods Dive
5061,14742,Route 19- Chamblee Station
5062,14742,Route 19 East Lake Station
