,route_id,trip_headsign,stop_name
3,14833,,ASHBY STATION
5,14833,,VINE CITY STATION
7,14833,,GWCC-CNN CENTER STATION
9,14833,,FIVE POINTS STATION
11,14833,,GEORGIA STATE STATION
13,14833,,KING MEMORIAL STATION
105,14833,,BANKHEAD STATION
126,14809,,COLLEGE PARK STATION - SOUTH LOOP
129,14816,,COLLEGE PARK STATION - SOUTH LOOP
130,14847,,COLLEGE PARK STATION - SOUTH LOOP
131,14809,,OAKLEY INDUSTRIAL BLVD @ JONESBORO RD
132,14809,,OAKLEY INDUSTRIAL BLVD @ OAKLEY RD
133,14809,,OAKLEY INDUSTRIAL BLVD @ COATES DR
134,14809,,OAKLEY INDUSTRIAL BLVD @ STALWART DR
135,14809,,OAKLEY INDUSTRIAL BLVD @ SPENCE RD
136,14809,,OAKLEY INDUSTRIAL BLVD @ ELLA LN
137,14809,,FAIRBURN PARK & RIDE
138,14809,,CLOROX COMPANY
139,14809,,BOHANNON RD @ 5000
140,14809,,OAKLEY INDUSTRIAL BLVD @ SPENCE RD
141,14809,,OAKLEY INDUSTRIAL BLVD @ STALWART DR
142,14809,,OAKLEY INDUSTRIAL BLVD @ COATES DR
143,14809,,OAKLEY INDUSTRIAL BLVD @ OAKLEY RD
144,14809,,OAKLEY INDUSTRIAL BLVD @ JONESBORO RD
146,14816,,CHURCH ST @ MCELROY DR
147,14847,,CHURCH ST @ MCELROY DR
149,14816,,CHURCH ST @ TOWN CENTER DR
150,14847,,CHURCH ST @ TOWN CENTER DR
152,14816,,CHURCH ST @ BETHSAIDA RD
153,14847,,CHURCH ST @ BETHSAIDA RD
155,14816,,GARDEN WALK BLVD @ SR 85
158,14816,,GARDEN WALK BLVD @ W LEE MILLS RD
161,14816,,GARDEN WALK BLVD @ GARDEN RIDGE DR
164,14816,,GARDEN WALK BLVD @ GARDEN SPRINGS DR
167,14816,,GARDEN WALK BLVD @ BROOKSTONE RDG
170,14816,,LAMAR HUTCHESON PKWY @ ROBERTS DR
173,14816,,LAMAR HUTCHESON PKY @ 618
176,14816,,SR 85 @ 7145
196,14816,,LAMAR HUTCHESON PKY @ VALLEY HILL RD SW
198,14816,,SR 85 @ 7056
200,14816,,SR 85 @ ROBERTS DR
202,14816,,SR 85 @ VALLEY HILL RD SW
204,14816,,SR 85 @ DENHAM ST
206,14816,,SR 85 @ CAMP ST
208,14816,,SR 85 @ ALLEN DR
210,14816,,SR 85 @ BRIAR HILL LN
212,14816,,GARDEN WALK BLVD @ RIVERDALE RD
214,14816,,RIVERDALE RD @ LAKE REGENCY DR
216,14816,,RIVERDALE RD @ FLAT SHOALS RD
218,14816,,RIVERDALE RD @ OLD RIVERDALE RD
220,14816,,RIVERDALE RD @ SHOREHAM DR
222,14816,,RIVERDALE RD @ KINGSWOOD CIR
224,14816,,RIVERDALE RD @ W FAYETTEVILLE RD
226,14847,,LAMAR HUTCHESON PKY @ 658
229,14847,,LAMAR HUTCHESON PKY @ ROBERTS DR
261,14847,,SR 85 @ MAIN ST
263,14847,,SR 85 @ ROBERTS DR
265,14847,,SR 85 @ BETHSAIDA RD
267,14847,,CHURCH ST @ BETHSAIDA RD
269,14847,,CHURCH ST @ TOWN CENTER DR
271,14847,,CHURCH ST @ MCELROY DR
288,14847,,LANCASTER LN @ SHANNON PKWY
289,14847,,JONESBORO RD @ STUDIO WAY
