,route_id
0,14831
3,14833
42,14832
44,14834
126,14809
127,14816
130,14847
156,14810
179,14812
403,14814
422,14752
424,14803
481,14993
482,14782
483,14750
484,14764
583,14804
584,14768
587,14774
703,14746
704,14754
708,14787
842,14827
1056,14760
1151,14844
1517,14762
1557,14758
1566,14766
1650,14756
1682,14735
1683,14784
1924,14736
1931,14991
2088,14841
2093,14785
2132,14740
2138,14852
2212,14744
2532,14795
2580,14793
2634,14776
2905,14799
2952,14748
2999,14797
3002,14737
3091,14791
3095,14800
3146,14857
3147,14789
3923,14802
4441,14845
4772,14778
4773,14806
5061,14742
5971,14864
6110,14829
