,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
0,14831,13121008102,41.6,22292,925,1084
1,14831,13121004000,44.6,27396,165,289
2,14831,13121002500,43.5,19671,331,309
3,14833,13121002500,43.5,19671,331,309
4,14831,13121002600,45.4,16607,173,167
5,14833,13121002600,45.4,16607,173,167
6,14831,13121003500,43.4,115096,69,41
7,14833,13121003500,43.4,115096,69,41
8,14831,13121011900,35.5,42431,549,265
9,14833,13121011900,35.5,42431,549,265
14,14831,13121003100,17.9,49132,121,121
15,14831,13089020400,5.9,123787,51,7
16,14831,13089022403,6.2,187868,72,10
17,14831,13089022600,9.7,132125,279,185
19,14831,13089023113,29.1,27847,398,500
20,14831,13089023111,24.1,54063,8,94
42,14832,13063980000,0.0,0,0,0
44,14834,13063980000,0.0,0,0,0
45,14832,13121012300,21.4,62569,290,222
46,14834,13121012300,21.4,62569,290,222
49,14832,13121006601,38.7,36161,246,281
50,14834,13121006601,38.7,36161,246,281
53,14832,13121004200,31.6,26824,596,417
54,14834,13121004200,31.6,26824,596,417
55,14832,13121003500,43.4,115096,69,41
56,14834,13121003500,43.4,115096,69,41
57,14832,13121011900,35.5,42431,549,265
58,14834,13121011900,35.5,42431,549,265
61,14832,13121001900,31.7,67500,150,93
62,14834,13121001900,31.7,67500,150,93
63,14832,13121001202,8.4,139265,299,87
64,14834,13121001202,8.4,139265,299,87
67,14832,13121000400,6.4,143906,9,6
68,14834,13121000400,6.4,143906,9,6
69,14832,13121009402,14.6,91739,280,128
70,14832,13121009602,2.3,135405,211,0
71,14832,13089021102,9.1,109904,206,105
72,14832,13089021204,44.3,19886,407,215
73,14832,13089021301,20.2,50160,149,155
78,14832,13121009403,21.0,49161,474,240
105,14833,13121008500,39.9,31458,161,335
107,14834,13121009402,14.6,91739,280,128
108,14834,13121010001,2.7,133937,129,26
109,14834,13121010115,0.5,152798,8,0
110,14834,13089021215,3.9,106902,220,27
111,14834,13121010110,11.3,99521,151,165
112,14834,13121010122,3.0,86471,168,21
126,14809,13121012300,21.4,62569,290,222
127,14816,13121012300,21.4,62569,290,222
130,14847,13121012300,21.4,62569,290,222
131,14809,13121010510,24.7,40753,496,1504
